kode_wilayah,nama_wilayah,tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
96747,Halim Perdana Kusuma Jakarta,4/18/2017,24.0,33.4,26.0,89.0,19.0,,4.0,50.0,1.0,NW
96747,Halim Perdana Kusuma Jakarta,4/19/2017,24.2,32.8,26.6,86.0,8888.0,,8.0,20.0,2.0,SE
96747,Halim Perdana Kusuma Jakarta,4/20/2017,24.0,33.4,28.3,72.0,8888.0,,6.0,70.0,2.0,NE
96747,Halim Perdana Kusuma Jakarta,4/21/2017,24.0,33.6,27.0,84.0,91.6,,8.0,340.0,2.0,NW
96747,Halim Perdana Kusuma Jakarta,4/22/2017,24.4,32.4,27.3,86.0,8888.0,,9.0,220.0,2.0,SW
96747,Halim Perdana Kusuma Jakarta,4/23/2017,23.7,33.0,27.8,78.0,,,4.0,30.0,2.0,NE
96747,Halim Perdana Kusuma Jakarta,4/24/2017,24.6,33.4,28.5,80.0,,,6.0,120.0,2.0,E 
96747,Halim Perdana Kusuma Jakarta,4/25/2017,24.6,33.6,28.7,76.0,,,5.0,60.0,3.0,E 
96747,Halim Perdana Kusuma Jakarta,4/26/2017,24.0,31.6,26.0,89.0,45.4,,7.0,10.0,1.0,SW
96747,Halim Perdana Kusuma Jakarta,4/27/2017,24.0,32.4,27.1,82.0,7.8,,4.0,20.0,2.0,W 
96747,Halim Perdana Kusuma Jakarta,4/28/2017,23.6,32.6,27.0,76.0,,,7.0,250.0,3.0,SW
96747,Halim Perdana Kusuma Jakarta,4/29/2017,23.6,33.0,28.4,74.0,,,6.0,250.0,3.0,SW
96747,Halim Perdana Kusuma Jakarta,4/30/2017,24.0,33.2,28.4,75.0,,,3.0,360.0,1.0,SE
96747,Halim Perdana Kusuma Jakarta,5/1/2017,24.8,34.2,27.8,83.0,6.0,,7.0,60.0,,SW
96747,Halim Perdana Kusuma Jakarta,5/2/2017,23.3,32.6,27.1,86.0,13.2,,5.0,200.0,,SW
96747,Halim Perdana Kusuma Jakarta,5/3/2017,25.0,33.6,27.9,82.0,,,4.0,200.0,,S 
96747,Halim Perdana Kusuma Jakarta,5/4/2017,,,,,,,,,,
96747,Halim Perdana Kusuma Jakarta,5/5/2017,24.0,33.2,26.9,86.0,13.2,,6.0,50.0,,NE
96747,Halim Perdana Kusuma Jakarta,5/6/2017,24.3,31.4,25.5,92.0,26.2,,5.0,30.0,,SW
96747,Halim Perdana Kusuma Jakarta,5/7/2017,24.0,31.6,26.6,86.0,5.2,,4.0,30.0,,W 
96747,Halim Perdana Kusuma Jakarta,5/8/2017,24.2,32.0,27.2,81.0,,,6.0,60.0,,SW
96747,Halim Perdana Kusuma Jakarta,5/9/2017,25.0,32.4,27.6,80.0,,,6.0,60.0,,NE
96747,Halim Perdana Kusuma Jakarta,5/10/2017,24.0,30.1,27.4,81.0,8888.0,,7.0,120.0,,SE
96747,Halim Perdana Kusuma Jakarta,5/11/2017,24.8,32.2,27.8,76.0,,,4.0,360.0,,S 
96747,Halim Perdana Kusuma Jakarta,5/12/2017,25.2,33.8,28.3,76.0,,,5.0,10.0,,N 
96747,Halim Perdana Kusuma Jakarta,5/13/2017,25.2,33.2,28.5,75.0,,,5.0,70.0,,E 
96747,Halim Perdana Kusuma Jakarta,5/14/2017,25.1,33.2,28.8,73.0,,,4.0,20.0,,N 
96747,Halim Perdana Kusuma Jakarta,5/15/2017,26.0,34.6,29.0,73.0,,,5.0,90.0,,E 
96747,Halim Perdana Kusuma Jakarta,5/16/2017,26.2,34.4,28.9,76.0,,,4.0,360.0,,N 
96747,Halim Perdana Kusuma Jakarta,5/17/2017,26.0,34.2,29.1,78.0,,,4.0,30.0,,NE
96747,Halim Perdana Kusuma Jakarta,5/18/2017,25.4,34.4,28.9,75.0,,,5.0,50.0,,NE
96747,Halim Perdana Kusuma Jakarta,5/19/2017,25.4,34.0,29.2,73.0,,,5.0,30.0,,NE
96747,Halim Perdana Kusuma Jakarta,5/20/2017,246.0,33.4,29.0,74.0,,,3.0,360.0,,N 
96747,Halim Perdana Kusuma Jakarta,5/21/2017,25.0,33.8,28.8,74.0,,,4.0,360.0,,N 
96747,Halim Perdana Kusuma Jakarta,5/22/2017,25.4,34.2,28.9,74.0,,,5.0,50.0,,NE
96747,Halim Perdana Kusuma Jakarta,5/23/2017,24.8,34.4,28.8,72.0,,,4.0,60.0,,E 
96747,Halim Perdana Kusuma Jakarta,5/24/2017,,33.4,,,,,5.0,80.0,,E 
96747,Halim Perdana Kusuma Jakarta,5/25/2017,24.4,34.0,28.5,72.0,,,5.0,60.0,,NE
96747,Halim Perdana Kusuma Jakarta,5/26/2017,26.6,35.0,28.7,71.0,,,4.0,20.0,,SW
96747,Halim Perdana Kusuma Jakarta,5/27/2017,26.0,34.8,29.4,72.0,,,6.0,50.0,,E 
96747,Halim Perdana Kusuma Jakarta,5/28/2017,25.2,32.6,28.7,74.0,11.2,,5.0,60.0,,NE
96747,Halim Perdana Kusuma Jakarta,5/29/2017,23.8,28.4,26.7,88.0,0.4,,5.0,100.0,,E 
96747,Halim Perdana Kusuma Jakarta,5/30/2017,26.0,32.2,27.4,82.0,,,7.0,50.0,,NE
96747,Halim Perdana Kusuma Jakarta,5/31/2017,25.0,33.4,28.9,74.0,,,6.0,26.0,,SW
96747,Halim Perdana Kusuma Jakarta,6/1/2017,24.6,30.2,27.6,73.0,0.8,,6.0,240.0,,SW
96747,Halim Perdana Kusuma Jakarta,6/2/2017,25.0,31.8,27.4,81.0,,,5.0,60.0,,NE
96747,Halim Perdana Kusuma Jakarta,6/3/2017,25.0,33.4,28.0,80.0,,,6.0,20.0,,N 
96747,Halim Perdana Kusuma Jakarta,6/4/2017,25.0,33.4,27.6,82.0,2.8,,6.0,50.0,,NE
96747,Halim Perdana Kusuma Jakarta,6/5/2017,23.6,32.8,28.2,80.0,24.4,,6.0,200.0,,SE
96747,Halim Perdana Kusuma Jakarta,6/6/2017,25.0,32.3,27.4,80.0,,,5.0,60.0,,NE
96747,Halim Perdana Kusuma Jakarta,6/7/2017,24.0,33.4,28.2,77.0,,,5.0,110.0,,E 
96747,Halim Perdana Kusuma Jakarta,6/8/2017,24.0,33.8,28.2,74.0,,,7.0,70.0,,E 
96747,Halim Perdana Kusuma Jakarta,6/9/2017,25.0,33.8,28.0,79.0,,,5.0,80.0,,E 
96747,Halim Perdana Kusuma Jakarta,6/10/2017,26.0,34.0,29.0,76.0,,,6.0,40.0,,NE
96747,Halim Perdana Kusuma Jakarta,6/11/2017,25.0,32.8,28.3,78.0,,,4.0,30.0,,NE
96747,Halim Perdana Kusuma Jakarta,6/12/2017,26.0,33.6,28.8,77.0,,,6.0,30.0,,NE
96747,Halim Perdana Kusuma Jakarta,6/13/2017,22.4,33.4,28.4,78.0,23.8,,6.0,210.0,,SE
96747,Halim Perdana Kusuma Jakarta,6/14/2017,25.0,32.8,27.5,82.0,8888.0,,5.0,80.0,,NE
96747,Halim Perdana Kusuma Jakarta,6/15/2017,25.0,33.2,28.0,79.0,,,6.0,70.0,,E 
96747,Halim Perdana Kusuma Jakarta,6/16/2017,24.0,33.4,28.6,80.0,,,8.0,80.0,,E 
96747,Halim Perdana Kusuma Jakarta,6/17/2017,24.4,34.2,28.6,76.0,,,6.0,50.0,,NE
96747,Halim Perdana Kusuma Jakarta,6/18/2017,25.0,34.2,28.4,72.0,,,5.0,360.0,,N 
96747,Halim Perdana Kusuma Jakarta,6/19/2017,24.0,33.4,28.6,62.0,,,5.0,30.0,,NE
96747,Halim Perdana Kusuma Jakarta,6/20/2017,24.2,34.2,27.8,72.0,,,5.0,50.0,,NE
96747,Halim Perdana Kusuma Jakarta,6/21/2017,24.8,33.2,27.3,77.0,,,4.0,90.0,,NE
96747,Halim Perdana Kusuma Jakarta,6/22/2017,24.0,30.0,27.1,81.0,,,5.0,30.0,,E 
96747,Halim Perdana Kusuma Jakarta,6/23/2017,24.6,31.6,26.8,81.0,,,6.0,70.0,,E 
96747,Halim Perdana Kusuma Jakarta,6/24/2017,,,,,,,,,,
96747,Halim Perdana Kusuma Jakarta,6/25/2017,,,,,,,,,,
96747,Halim Perdana Kusuma Jakarta,6/26/2017,,,,,,,,,,
96747,Halim Perdana Kusuma Jakarta,6/27/2017,,,,,,,,,,
96747,Halim Perdana Kusuma Jakarta,6/28/2017,,,,,,,,,,
96747,Halim Perdana Kusuma Jakarta,6/29/2017,,,,,,,,,,
96747,Halim Perdana Kusuma Jakarta,6/30/2017,,,,,,,,,,
96747,Halim Perdana Kusuma Jakarta,7/1/2017,23.0,32.2,26.8,80.0,0.6,,5.0,100.0,4.0,E 
96747,Halim Perdana Kusuma Jakarta,7/2/2017,24.0,33.4,28.5,74.0,,,6.0,40.0,4.0,NE
96747,Halim Perdana Kusuma Jakarta,7/3/2017,24.0,32.6,28.3,76.0,,,5.0,80.0,4.0,NE
96747,Halim Perdana Kusuma Jakarta,7/4/2017,24.0,33.6,28.7,76.0,,,5.0,90.0,4.0,E 
96747,Halim Perdana Kusuma Jakarta,7/5/2017,24.4,33.4,28.8,73.0,,,5.0,30.0,3.0,SW
96747,Halim Perdana Kusuma Jakarta,7/6/2017,24.0,31.8,28.2,69.0,,,4.0,20.0,2.0,NE
96747,Halim Perdana Kusuma Jakarta,7/7/2017,23.6,33.4,28.4,69.0,,,5.0,30.0,2.0,SW
96747,Halim Perdana Kusuma Jakarta,7/8/2017,24.8,32.6,28.2,72.0,,,3.0,130.0,2.0,SE
96747,Halim Perdana Kusuma Jakarta,7/9/2017,23.6,32.4,28.5,71.0,4.9,,6.0,160.0,2.0,NW
96747,Halim Perdana Kusuma Jakarta,7/10/2017,24.6,31.2,26.9,80.0,,,4.0,20.0,2.0,S 
96747,Halim Perdana Kusuma Jakarta,7/11/2017,24.0,32.4,27.8,73.0,8888.0,,4.0,340.0,3.0,SW
96747,Halim Perdana Kusuma Jakarta,7/12/2017,24.2,32.4,27.3,74.0,,,3.0,300.0,2.0,SW
96747,Halim Perdana Kusuma Jakarta,7/13/2017,24.0,32.6,27.8,72.0,,,4.0,200.0,2.0,N 
96747,Halim Perdana Kusuma Jakarta,7/14/2017,23.6,32.8,27.5,74.0,,,5.0,100.0,2.0,E 
96747,Halim Perdana Kusuma Jakarta,7/15/2017,24.4,31.8,28.2,67.0,,,5.0,60.0,3.0,SW
96747,Halim Perdana Kusuma Jakarta,7/16/2017,24.2,32.4,27.7,69.0,,,4.0,20.0,2.0,SW
96747,Halim Perdana Kusuma Jakarta,7/17/2017,23.4,32.6,27.1,63.0,,,3.0,60.0,2.0,SW
96747,Halim Perdana Kusuma Jakarta,7/18/2017,23.4,31.4,26.8,72.0,8888.0,,8.0,120.0,3.0,S 
96747,Halim Perdana Kusuma Jakarta,7/19/2017,24.0,32.4,26.6,59.0,0.3,,5.0,250.0,2.0,SE
96747,Halim Perdana Kusuma Jakarta,7/20/2017,24.0,33.2,26.8,83.0,0.2,,5.0,360.0,2.0,SW
96747,Halim Perdana Kusuma Jakarta,7/21/2017,24.2,32.8,27.8,77.0,,,5.0,40.0,2.0,NE
96747,Halim Perdana Kusuma Jakarta,7/22/2017,24.4,33.0,28.5,,,,6.0,60.0,3.0,S 
96747,Halim Perdana Kusuma Jakarta,7/23/2017,23.8,32.8,27.3,82.0,0.2,,4.0,220.0,2.0,
96747,Halim Perdana Kusuma Jakarta,7/24/2017,24.4,32.6,28.1,77.0,,,4.0,360.0,3.0,S 
96747,Halim Perdana Kusuma Jakarta,7/25/2017,24.0,33.4,27.9,68.0,,,5.0,40.0,4.0,NE
96747,Halim Perdana Kusuma Jakarta,7/26/2017,23.4,34.0,27.6,63.0,,,6.0,90.0,4.0,SW
96747,Halim Perdana Kusuma Jakarta,7/27/2017,24.0,33.6,28.5,63.0,,,5.0,30.0,3.0,NE
96747,Halim Perdana Kusuma Jakarta,7/28/2017,24.4,34.2,28.4,72.0,,,5.0,70.0,4.0,SW
96747,Halim Perdana Kusuma Jakarta,7/29/2017,24.0,34.4,27.4,80.0,8888.0,,8.0,180.0,4.0,S 
96747,Halim Perdana Kusuma Jakarta,7/30/2017,24.0,33.6,28.1,76.0,,,4.0,90.0,3.0,E 
96747,Halim Perdana Kusuma Jakarta,7/31/2017,24.4,34.2,28.8,72.0,,,5.0,220.0,3.0,S 
96747,Halim Perdana Kusuma Jakarta,8/1/2017,24.0,33.6,27.8,63.0,,,4.0,50.0,3.0,SW
96747,Halim Perdana Kusuma Jakarta,8/2/2017,22.8,33.8,27.1,66.0,,,5.0,110.0,3.0,E 
96747,Halim Perdana Kusuma Jakarta,8/3/2017,22.6,33.6,27.8,61.0,,,4.0,360.0,3.0,S 
96747,Halim Perdana Kusuma Jakarta,8/4/2017,23.0,34.0,27.6,63.0,,,6.0,30.0,3.0,NE
96747,Halim Perdana Kusuma Jakarta,8/5/2017,23.4,33.4,27.6,71.0,,,4.0,40.0,2.0,N 
96747,Halim Perdana Kusuma Jakarta,8/6/2017,23.4,33.4,28.2,70.0,,,5.0,30.0,3.0,NE
96747,Halim Perdana Kusuma Jakarta,8/7/2017,25.0,34.8,28.1,72.0,,,6.0,30.0,4.0,NE
96747,Halim Perdana Kusuma Jakarta,8/8/2017,24.2,34.4,28.0,71.0,,,6.0,60.0,3.0,SW
96747,Halim Perdana Kusuma Jakarta,8/9/2017,23.4,33.8,28.3,70.0,19.0,,5.0,360.0,3.0,SW
96747,Halim Perdana Kusuma Jakarta,8/10/2017,23.8,31.8,26.9,80.0,1.0,,5.0,240.0,3.0,SW
96747,Halim Perdana Kusuma Jakarta,8/11/2017,23.6,32.8,28.1,75.0,,,5.0,20.0,3.0,NE
96747,Halim Perdana Kusuma Jakarta,8/12/2017,24.0,33.4,28.5,74.0,,,6.0,50.0,3.0,NE
